155.5378301	148.9495007	144.576087	139.0388252	135.3650471	132.5881164
155.9673732	149.120723	144.7348765	139.1428838	135.3636974	132.5620749
156.3108709	149.2218895	144.8331308	139.1957206	135.3162773	132.4934121
156.5645391	149.2523081	144.8703405	139.1971352	135.2229344	132.3823147
156.7254403	149.2117688	144.8463113	139.1471223	135.0839577	132.2290829
156.7916451	149.1005514	144.7611688	139.045871	134.8997732	132.034126
156.7623443	148.9194155	144.6153551	138.8937623	134.6709377	131.7979577
156.6378978	148.6695751	144.4096178	138.6913612	134.3981304	131.521189
156.4198126	148.3526593	144.1449909	138.4394071	134.0821433	131.2045212
156.1106538	147.9706614	143.8227701	138.1388003	133.723871	130.8487377
155.7139003	147.5258809	143.4444823	137.7905872	133.3242983	130.4546945
155.2337626	147.0208612	143.0118526	137.3959427	132.8844885	130.0233118
154.6749843	146.458327	142.5267685	136.9561531	132.4055711	129.5555643
154.0426451	145.8411237	141.9912444	136.4725969	131.8887291	129.0524717
153.3419805	145.1721623	141.4073869	135.9467263	131.3351875	128.5150898
152.5782294	144.4543699	140.7773619	135.3800495	130.7462014	127.9445017
151.756511	143.6906477	140.1033645	134.7741138	130.1230457	127.3418097
150.8817343	142.8838365	139.3875926	134.130489	129.4670048	126.7081269
149.958536	142.0366895	138.6322239	133.4507538	128.7793641	126.044571
148.9912428	141.1518517	137.8393966	132.7364822	128.0614015	125.3522572
147.9838534	140.2318457	137.0111935	131.9892328	127.3143808	124.6322928
146.9400352	139.2790621	136.1496299	131.210539	126.5395456	123.8857721
145.863132	138.2957546	135.2566445	130.4019006	125.738114	123.1137721
144.7561791	137.2840387	134.3340927	129.5647781	124.9112746	122.3173487
143.6219219	136.2458929	133.3837422	128.7005867	124.0601832	121.4975336
142.4628381	135.183162	132.4072715	127.8106928	123.18596	120.6553323
141.2811598	134.097562	131.4062687	126.8964113	122.2896878	119.7917213
140.078896	132.9906859	130.3822326	125.9590036	121.3724107	118.9076476
138.857854	131.8640104	129.3365744	124.9996766	120.4351332	118.0040269
137.6196596	130.7189027	128.2706203	124.0195827	119.4788198	117.0817433
136.3657757	129.5566274	127.1856147	123.0198199	118.5043954	116.1416488
135.0975196	128.378354	126.0827239	122.0014326	117.512745	115.1845635
133.816078	127.1851632	124.9630396	120.9654129	116.5047153	114.2112757
132.5225215	125.9780536	123.827583	119.9127022	115.4811145	113.2225422
131.2178168	124.7579483	122.677309	118.8441925	114.4427142	112.2190889
129.9028379	123.5257003	121.5131098	117.7607287	113.3902501	111.2016119
128.5783759	122.2820984	120.3358193	116.6631106	112.3244234	110.1707777
127.2451482	121.0278723	119.1462163	115.5520945	111.245902	109.1272247
125.9038058	119.7636974	117.9450288	114.428396	110.1553222	108.0715639
124.554941	118.4901988	116.7329367	113.2926914	109.0532898	107.0043801
123.1990927	117.2079563	115.510576	112.1456201	107.9403818	105.9262328
121.8367524	115.9175073	114.2785409	110.9877869	106.8171476	104.8376574
120.4683691	114.6193505	113.0373877	109.8197633	105.6841104	103.7391664
119.0943534	113.3139494	111.7876369	108.6420903	104.5417688	102.6312504
117.7150813	112.0017348	110.5297759	107.4552793	103.3905979	101.5143791
116.3308978	110.6831076	109.2642616	106.2598146	102.2310509	100.3890026
114.9421196	109.3584413	107.9915225	105.056155	101.0635601	99.25555241
113.5490382	108.028084	106.7119607	103.8447351	99.88853825	98.11444242
112.1519223	106.6923608	105.4259539	102.6259669	98.70637978	96.96606998
110.7510194	105.3515753	104.1338572	101.4002416	97.51746192	95.8108169
109.3465583	104.0060115	102.8360049	100.1679308	96.32214582	94.64905046
107.9387507	102.6559354	101.5327119	98.92938762	95.12077759	93.48112431
106.5277925	101.3015963	100.224275	97.68494832	93.91368937	92.30737942
105.1138654	99.94322819	98.91097448	96.4349332	92.70120028	91.12814501
103.6971382	98.58105087	97.59307535	95.17964788	91.48361741	89.94373939
102.2777678	97.21527119	96.27082835	93.91938431	90.26123672	88.75447087
100.8559002	95.84608397	94.94447108	92.65442178	89.03434396	87.56063857
99.43167139	94.473673	93.61422903	91.38502793	87.8032155	86.36253325
98.00520836	93.09821185	92.28031654	90.11145964	86.56811918	85.16043814
96.57662965	91.71986471	90.9429376	88.83396391	85.32931514	83.95462973
95.14604615	90.3387871	89.60228676	87.5527787	84.08705662	82.74537858
93.71356162	88.9551266	88.25854983	86.26813378	82.84159075	81.53295008
92.27927335	87.56902345	86.91190466	84.98025145	81.59315929	80.31760528
90.84327256	86.18061115	85.56252183	83.68934735	80.34199948	79.09960166
89.40564496	84.79001706	84.21056527	82.39563119	79.08834471	77.87919392
87.96647113	83.39736287	82.85619291	81.09930743	77.83242539	76.65663482
86.52582687	82.00276511	81.49955729	79.80057606	76.57446965	75.43217599
85.08378364	80.60633564	80.14080613	78.49963324	75.3147042	74.20606878
83.64040881	79.20818208	78.78008288	77.19667204	74.05335507	72.97856513
82.19576598	77.80840822	77.41752728	75.89188315	72.79064852	71.74991852
80.74991526	76.40711446	76.05327592	74.58545555	71.52681185	70.52038488
79.30291352	75.00439819	74.68746272	73.27757729	70.26207433	69.29022361
77.8548146	73.60035416	73.32021954	71.96843622	68.99666815	68.05969865
76.40566957	72.19507491	71.95167665	70.65822074	67.73082942	66.82907958
74.95552687	70.78865111	70.58196332	69.34712064	66.46479923	65.59864285
73.50443254	69.38117196	69.21120839	68.03532795	65.19882484	64.36867306
72.05243035	67.97272557	67.83954084	66.72303782	63.93316086	63.13946435
70.59956199	66.56339938	66.46709039	65.4104495	62.66807062	61.91132191
